Total,1431,1914,1482,1918,1791,,,
Preescolar,y,Circulos,Infantiles,328,410,333,497,414
Primaria,466,830,601,720,650,,,
Media,439,497,415,484,472,,,
Secundaria,basica,187,216,217,227,218,,
Preuniversitario,78,91,72,69,64,,,
Técnica,y,profesional,126,142,126,143,131,
De,ello:,Oficios,:,:,0,0,0,
Formacién,de,Personal,Pedagégico,48,48,41,48,59
Escuelas,de,Arte,44,-,-,17,42,
Escuelas,de,Deporte,35,-,-,37,58,
Adultos,30,29,30,32,31,,,
Educacién,obrero,campesina,-,-,-,-,0,
Secundaria,obrero,campesina,-,-,-,-,0,
Facultad,obrero,campesina,27,24,24,27,26,
Idiomas,3,5,6,5,5,,,
Especial,89,148,103,131,124,,,
